"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2013","2013",435,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2014","2014",407,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2015","2015",384,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2016","2016",403,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2017","2017",429,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2018","2018",455,,
"18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2001","2001",46,,
"18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2002","2002",37,,
"18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2003","2003",35,,
"18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2005","2005",61,,
"18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2006","2006",51,,
"18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2007","2007",64,,
"18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2008","2008",49,,
"18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2009","2009",73,,
"18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2010","2010",82,,
"18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2011","2011",73,,
"18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2012","2012",70,,
"18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2013","2013",56,,
"18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2014","2014",45,,
"18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2015","2015",55,,
"18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2016","2016",58,,
"18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2017","2017",93,,
"18_BMI_OBE","obesi","THV","valori in migliaia","1","maschi","Y18-24","18-24 anni","2018","2018",58,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2001","2001",340,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2002","2002",371,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2003","2003",336,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2005","2005",315,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2006","2006",313,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2007","2007",291,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2008","2008",303,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2009","2009",288,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2010","2010",324,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2011","2011",248,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2012","2012",280,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2013","2013",311,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2014","2014",327,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2015","2015",319,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2016","2016",322,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2017","2017",296,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2018","2018",301,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2001","2001",1705,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2002","2002",1660,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2003","2003",1660,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2005","2005",1605,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2006","2006",1546,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2007","2007",1568,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2008","2008",1500,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2009","2009",1501,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2010","2010",1492,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2011","2011",1604,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2012","2012",1469,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2013","2013",1524,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2014","2014",1420,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2015","2015",1454,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2016","2016",1405,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2017","2017",1472,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2018","2018",1374,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2001","2001",178,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2002","2002",165,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2003","2003",159,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2005","2005",183,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2006","2006",167,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2007","2007",200,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2008","2008",212,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2009","2009",192,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2010","2010",198,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2011","2011",179,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2012","2012",220,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2013","2013",210,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2014","2014",212,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2015","2015",194,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2016","2016",211,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2017","2017",232,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2018","2018",205,,
"18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2001","2001",13,,
"18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2002","2002",32,,
"18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2003","2003",19,,
"18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2005","2005",26,,
"18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2006","2006",40,,
"18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2007","2007",39,,
"18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2008","2008",39,,
"18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2009","2009",39,,
"18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2010","2010",46,,
"18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2011","2011",35,,
"18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2012","2012",48,,
"18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2013","2013",49,,
"18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2014","2014",53,,
"18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2015","2015",40,,
"18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2016","2016",50,,
"18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2017","2017",61,,
"18_BMI_OBE","obesi","THV","valori in migliaia","2","femmine","Y18-24","18-24 anni","2018","2018",43,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2001","2001",440,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2002","2002",441,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2003","2003",397,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2005","2005",345,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2006","2006",367,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2007","2007",353,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2008","2008",369,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2009","2009",325,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2010","2010",377,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2011","2011",318,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2012","2012",353,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2013","2013",381,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2014","2014",386,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2015","2015",391,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2016","2016",385,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2017","2017",371,,
"18_BMI_SOTTO","sottopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2018","2018",382,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2001","2001",3428,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2002","2002",3378,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2003","2003",3341,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2005","2005",3278,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2006","2006",3210,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2007","2007",3142,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2008","2008",3036,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2009","2009",3037,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2010","2010",3032,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2011","2011",3194,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2012","2012",3099,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2013","2013",3116,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2014","2014",3034,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2015","2015",3065,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2016","2016",3051,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2017","2017",2981,,
"18_BMI_NORMO","normopeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2018","2018",2913,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2001","2001",597,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2002","2002",572,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2003","2003",528,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2005","2005",592,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2006","2006",572,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2007","2007",587,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2008","2008",685,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2009","2009",677,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2010","2010",660,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2011","2011",668,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2012","2012",670,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2013","2013",644,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2014","2014",619,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2015","2015",578,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2016","2016",615,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2017","2017",662,,
"18_BMI_SOVRA","sovrappeso","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2018","2018",660,,
"18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2001","2001",59,,
"18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2002","2002",69,,
"18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2003","2003",55,,
"18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2005","2005",88,,
"18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2006","2006",91,,
"18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2007","2007",103,,
"18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2008","2008",88,,
"18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2009","2009",113,,
"18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2010","2010",128,,
"18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2011","2011",108,,
"18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2012","2012",118,,
"18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2013","2013",105,,
"18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2014","2014",98,,
"18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2015","2015",95,,
"18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2016","2016",107,,
"18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2017","2017",154,,
"18_BMI_OBE","obesi","THV","valori in migliaia","9","totale","Y18-24","18-24 anni","2018","2018",101,,
"18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2001","2001",4.4,,
"18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2002","2002",3.2,,
"18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2003","2003",2.9,,
"18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2005","2005",1.4,,
"18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2006","2006",2.5,,
"18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2007","2007",2.9,,
"18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2008","2008",3.1,,
"18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2009","2009",1.7,,
"18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2010","2010",2.5,,
"18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2011","2011",3.2,,
"18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2012","2012",3.3,,
"18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2013","2013",3.2,,
"18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2014","2014",2.8,,
"18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2015","2015",3.4,,
"18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2016","2016",2.9,,
"18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2017","2017",3.6,,
"18_BMI_SOTTO","sottopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2018","2018",3.8,,
"18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2001","2001",75.3,,
"18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2002","2002",76.9,,
"18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2003","2003",78.3,,
"18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2005","2005",77,,
"18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2006","2006",76.6,,
"18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2007","2007",75.5,,
"18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2008","2008",72.3,,
"18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2009","2009",72.1,,
"18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2010","2010",72,,
"18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2011","2011",71.6,,
"18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2012","2012",73.3,,
"18_BMI_NORMO","normopeso","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-24","18-24 anni","2013","2013",74,,
